address,sqft,info,price,url,latitude,longitude
"Johsnon Rd Vic Limeridge, Elizabeth Lake, CA 93532",,"7,501 sqft lot","$25,000",https://www.zillow.com/homedetails/Johsnon-Rd-Vic-Limeridge-Elizabeth-Lake-CA-93532/95693729_zpid/,34.660256,-118.365764
"3152-008-050 East St #g, Lancaster, CA 93535",,2 acres lot,"$49,950",https://www.zillow.com/homedetails/3152-008-050-East-St-G-Lancaster-CA-93535/2069333086_zpid/,34.733624,-118.045772
"11570 Range View Rd, Mira Loma, CA 91752","2,229","4 bds3 ba2,229 sqft","$650,000",https://www.zillow.com/homedetails/11570-Range-View-Rd-Mira-Loma-CA-91752/17815442_zpid/,33.97712,-117.535475
"Easy Street And Carmichael St, Boron, CA 93516",,0.98 acres lot,"$16,500",https://www.zillow.com/homedetails/Easy-Street-And-Carmichael-St-Boron-CA-93516/2069349857_zpid/,35.00695,-117.634282
"22034 Antigua, Mission Viejo, CA 92692","1,540","3 bds3 ba1,540 sqft","$799,000",https://www.zillow.com/homedetails/22034-Antigua-Mission-Viejo-CA-92692/2114299733_zpid/,33.642,-117.64261
"9431 Spring Rd, Pinon Hills, CA 92372",,2.12 acres lot,"$110,000",https://www.zillow.com/homedetails/9431-Spring-Rd-Pinon-Hills-CA-92372/137992121_zpid/,34.421488,-117.652006
"0 Arbula Dr #340-161-55, Crestline, CA 92325",,"5,000 sqft lot","$15,000",https://www.zillow.com/homedetails/0-Arbula-Dr-340-161-55-Crestline-CA-92325/2069389622_zpid/,34.232065,-117.255774
"42832 Bedford Dr, Newberry Springs, CA 92365",864,10 acres lot,"$60,000",https://www.zillow.com/homedetails/42832-Bedford-Dr-Newberry-Springs-CA-92365/17485875_zpid/,34.89453,-116.732141
"0 Hillhurst Dr, San Bernardino, CA  ",,1 acres lot,"$120,000",https://www.zillow.com/homedetails/0-Hillhurst-Dr-San-Bernardino-CA/2084898010_zpid/,34.155298,-117.302551
"19703 E Avenue G, Lancaster, CA 93535",744,1 bd1 ba744 sqft,"$165,000",https://www.zillow.com/homedetails/19703-E-Avenue-G-Lancaster-CA-93535/20322468_zpid/,34.735366,-117.778511
"Pasa Glen Dr, Glendale, CA 91208",,"5,104 sqft lot","$39,500",https://www.zillow.com/homedetails/Pasa-Glen-Dr-Glendale-CA-91208/2076872038_zpid/,34.187081,-118.21523
"1403 N Shirlmar Ave, San Dimas, CA 91773","2,212","3 bds3 ba2,212 sqft","$1,990,000",https://www.zillow.com/homedetails/1403-N-Shirlmar-Ave-San-Dimas-CA-91773/21651339_zpid/,34.128223,-117.809063
"100 W Midway Dr Unit 223, Anaheim, CA 92805",600,2 bds1 ba600 sqft,"$75,000",https://www.zillow.com/homedetails/100-W-Midway-Dr-UNIT-223-Anaheim-CA-92805/2076033732_zpid/,33.811092,-117.908269
"708 N Division Dr, Big Bear City, CA 92314",,"2,482 sqft lot","$24,000",https://www.zillow.com/homedetails/708-N-Division-Dr-Big-Bear-City-CA-92314/137652788_zpid/,34.26475,-116.865909
"0 W Avenue C, Lancaster, CA 93536",,2.63 acres lot,"$14,499",https://www.zillow.com/homedetails/0-W-Avenue-C-Lancaster-CA-93536/2075895864_zpid/,34.789771,-118.360786
"0 Fetters St, Mojave, CA 93501",,5 acres lot,"$25,000",https://www.zillow.com/homedetails/0-Fetters-St-Mojave-CA-93501/2069572581_zpid/,34.967941,-118.13093
"0 Unnamed Dirt Rd #ca21099, Apple Valley, CA 92307",,10 acres lot,"$39,997",https://www.zillow.com/homedetails/0-Unnamed-Dirt-Rd-CA21099-Apple-Valley-CA-92307/2069581070_zpid/,34.64596,-117.086362
